Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Malta,2016,12.51,31.80333333333333,23.36082766367033,21.615067361874136,3
Malta,2017,11.18,26.935,23.624933392767463,21.86008634201036,2
Mexico,2010,23.21,55.585,47.78014752030639,32.38833218465401,4
Mexico,2011,27.55375,62.0525,47.26214375755403,32.60866337157667,8
Mexico,2012,24.27777777777778,49.27777777777778,46.37679719123764,31.773222583278937,9
Mexico,2013,26.61375,51.12,46.59954250760029,31.98866200802585,8
Mexico,2014,24.045555555555556,46.20444444444445,45.95410819638601,31.078965135191723,9
Mexico,2015,23.894615384615385,41.48461538461538,45.134731459213725,30.37690362032704,13
Mexico,2016,22.611666666666668,41.35333333333333,44.73708440571189,29.987698727390597,12
Mexico,2017,22.22666666666667,45.23666666666667,44.40708421938613,30.124273791906376,12
Mongolia,2010,75.1,165.1,110.39244037646552,56.99513706185657,1
Mongolia,2011,132.0,232.0,104.9382077937315,56.08992272312723,1
Mongolia,2012,106.0,253.0,97.2927457398695,51.77208469698751,1
Mongolia,2013,72.06,194.6,91.80088938607346,49.72530611392107,1
Mongolia,2014,64.21,186.5,86.28391760104769,46.29256902884264,1
Mongolia,2015,75.0,141.0,84.75748553101734,47.62703049149653,1
Mongolia,2016,79.02,128.0,81.37902801953523,44.49291512438807,1
Mongolia,2017,86.0,132.0,81.61391845496415,46.078598447629545,1
Nepal,2016,42.0,64.17,134.87894132611652,63.78249120438217,1
Nepal,2017,31.685,46.995000000000005,133.26111106641983,64.98809155380978,2
Netherlands,2010,16.946470588235293,25.694117647058825,23.638359946761828,21.538788470428333,17
Netherlands,2013,14.346451612903227,22.57903225806452,20.141915644961696,18.0812420079876,31
Netherlands,2014,13.541290322580645,21.39290322580645,19.09365120242848,17.102812680109057,31
Netherlands,2015,12.5436,20.2772,19.29096156859232,17.25142180277427,25
Netherlands,2016,10.840333333333332,18.707,18.586539606771527,16.517179284518257,30
Netherlands,2017,11.116969696969697,19.61090909090909,18.612504280752685,16.536460430293964,33
New Zealand,2012,10.655,19.175,10.912242298356157,10.659774688141937,4
New Zealand,2014,10.025,16.065,9.537696604180995,9.238484389678725,6
New Zealand,2015,7.800909090909091,16.667272727272728,9.376395319558684,9.04056283944598,11
New Zealand,2016,9.108333333333333,16.110833333333332,8.646934412209875,8.273321160515545,12
New Zealand,2017,11.578750000000001,18.3225,8.598756880012333,8.176373378836955,8
North Macedonia,2013,44.5,73.8,51.887689914333045,36.3975251007298,1
North Macedonia,2016,40.18,68.83,50.3714707533674,36.18091008449276,1
North Macedonia,2017,43.48,70.15,49.98650948279586,36.25299709568505,1
Norway,2010,10.549999999999999,21.987142857142857,15.402358699969598,13.47512902356608,7
Norway,2013,8.92125,19.35875,13.311990449268142,11.421868673103342,8
Norway,2014,7.22,15.2975,12.64925076122753,10.836116082772838,12
Norway,2015,6.521875,14.9175,11.474984816579193,9.710341287658634,16
Norway,2016,6.5295000000000005,13.6735,10.855094877469543,9.12469649460081,20
Norway,2017,6.038333333333333,12.4825,10.888941039349438,9.153368442107954,24
Pakistan,2010,95.33333333333333,395.3333333333333,139.29437920953907,59.51166826618881,3
Pakistan,2013,36.5,148.17,131.6026581480353,58.61235154296256,1
Panama,2013,14.0,31.1,24.936643908973068,16.342475012135814,1
Peru,2010,30.57,67.97999999999999,44.46148803013495,24.48484186955061,4
Peru,2011,36.0625,62.165,42.55947760895964,24.076074578155232,4
Peru,2012,30.37,63.96,40.22507140309068,22.961588441466496,4
Peru,2013,34.52166666666667,52.971666666666664,37.80887277846272,21.926811123014648,6
Peru,2014,32.928333333333335,53.11333333333334,34.524129135694096,19.93011996783532,6
Peru,2015,27.425,59.595,32.108003801286095,18.597685119013008,6
Peru,2016,27.5,62.245,31.012992962052646,18.306044653026984,6
Peru,2017,23.398,72.518,30.145899172385008,17.890552938323548,5
Philippines,2015,17.0,60.0,114.28897608304752,37.57018162872947,1
Philippines,2016,29.0,59.0,109.83731960616348,35.81542580591527,1
Philippines,2017,29.0,62.0,106.87248335051554,35.519276307295414,1
Poland,2010,28.71108108108108,36.839999999999996,43.94863081383075,37.691878894018046,37
Poland,2013,24.57677419354839,32.19467741935484,38.824654661974826,33.17054406614132,62
